item_id,hash_match_status,candidate_count,candidate_artists,candidate_domains,candidate_urls,candidate_titles
45a7366dd41a,no_exact_file_hash_match,0,,,,
280f3c27a098,no_exact_file_hash_match,0,,,,
0d5166aa8c12,no_exact_file_hash_match,0,,,,
70c32c033765,no_exact_file_hash_match,0,,,,
1032c94dc26c,no_exact_file_hash_match,0,,,,
d8eec78542df,no_exact_file_hash_match,0,,,,
900aa74ff476,no_exact_file_hash_match,0,,,,
ec9727dc1caf,no_exact_file_hash_match,0,,,,
ffd8d1668aa7,no_exact_file_hash_match,0,,,,
49d08e279c77,no_exact_file_hash_match,0,,,,
01d0c51f3d96,no_exact_file_hash_match,0,,,,
4922f64f7b32,no_exact_file_hash_match,0,,,,
9e8f13c0ad90,no_exact_file_hash_match,0,,,,
7a495437dea8,no_exact_file_hash_match,0,,,,
438b3376f646,no_exact_file_hash_match,0,,,,
40fe75077c7b,no_exact_file_hash_match,0,,,,
817c85485534,no_exact_file_hash_match,0,,,,
113768c9c7f6,no_exact_file_hash_match,0,,,,
7d189d6c0f1a,no_exact_file_hash_match,0,,,,
bd744b0b6982,no_exact_file_hash_match,0,,,,
3c4d26a24330,no_exact_file_hash_match,0,,,,
ab36ee798527,no_exact_file_hash_match,0,,,,
b231b28e9379,no_exact_file_hash_match,0,,,,
69de4e9b33ec,no_exact_file_hash_match,0,,,,
ad055fc89458,no_exact_file_hash_match,0,,,,
954c5208a895,no_exact_file_hash_match,0,,,,
b241cd2b4f65,no_exact_file_hash_match,0,,,,
d54cb4df8208,no_exact_file_hash_match,0,,,,
4005c06befe7,no_exact_file_hash_match,0,,,,
0303fa35c506,no_exact_file_hash_match,0,,,,
7c15216a356d,no_exact_file_hash_match,0,,,,
1bb7b3f48b7b,no_exact_file_hash_match,0,,,,
b50f282ba6de,no_exact_file_hash_match,0,,,,
cdebdedbba2b,no_exact_file_hash_match,0,,,,
ffd061445b8d,no_exact_file_hash_match,0,,,,
faa3326226b8,no_exact_file_hash_match,0,,,,
38ba9f1aa8e4,no_exact_file_hash_match,0,,,,
40e216c47afa,no_exact_file_hash_match,0,,,,
377ffc885c72,no_exact_file_hash_match,0,,,,
b08a77016f53,no_exact_file_hash_match,0,,,,
ec9fddf3dd86,no_exact_file_hash_match,0,,,,
ee4610588f3f,no_exact_file_hash_match,0,,,,
5f11912239eb,no_exact_file_hash_match,0,,,,
51b28e1848fc,no_exact_file_hash_match,0,,,,
9d7e20c0637e,no_exact_file_hash_match,0,,,,
63700d00e7bc,no_exact_file_hash_match,0,,,,
eceb28d72fd4,no_exact_file_hash_match,0,,,,
4d1a84a7a0d3,no_exact_file_hash_match,0,,,,
acd801e7b120,no_exact_file_hash_match,0,,,,
9b845b101b5f,no_exact_file_hash_match,0,,,,
73991c17113e,no_exact_file_hash_match,0,,,,
78c5df210341,no_exact_file_hash_match,0,,,,
2acd084564cc,no_exact_file_hash_match,0,,,,
e2a7d995adb0,no_exact_file_hash_match,0,,,,
53f58f163b21,no_exact_file_hash_match,0,,,,
33a514e2e078,no_exact_file_hash_match,0,,,,
9b485248182d,no_exact_file_hash_match,0,,,,
da62c0a19ce8,no_exact_file_hash_match,0,,,,
7e6096767b83,no_exact_file_hash_match,0,,,,
c66e94da3f40,no_exact_file_hash_match,0,,,,
2459c8d5cb74,no_exact_file_hash_match,0,,,,
6e2fe2c082f1,no_exact_file_hash_match,0,,,,
1d2dc99906a8,no_exact_file_hash_match,0,,,,
df732c4410e3,no_exact_file_hash_match,0,,,,
ff377c0bca2d,no_exact_file_hash_match,0,,,,
5721636792b3,no_exact_file_hash_match,0,,,,
3bf941aeddac,no_exact_file_hash_match,0,,,,
b7a79ddaff63,no_exact_file_hash_match,0,,,,
63d8f42527b0,no_exact_file_hash_match,0,,,,
e20f640cb640,no_exact_file_hash_match,0,,,,
9331e1ff3566,no_exact_file_hash_match,0,,,,
a79ff7013cd8,no_exact_file_hash_match,0,,,,
b17675cc0db9,no_exact_file_hash_match,0,,,,
73ffe2c58df2,no_exact_file_hash_match,0,,,,
b8e6b93cca53,no_exact_file_hash_match,0,,,,
d967704a5a81,no_exact_file_hash_match,0,,,,
0d13932ce80b,no_exact_file_hash_match,0,,,,
ad6225cb3b55,no_exact_file_hash_match,0,,,,
886d55758537,no_exact_file_hash_match,0,,,,
0c4618751279,no_exact_file_hash_match,0,,,,
7135699f8c2c,no_exact_file_hash_match,0,,,,
79ea08d6c654,no_exact_file_hash_match,0,,,,
bd8854389702,no_exact_file_hash_match,0,,,,
297676566b29,no_exact_file_hash_match,0,,,,
0aa1912a9d55,no_exact_file_hash_match,0,,,,
f5d6ddef0a0f,no_exact_file_hash_match,0,,,,
67a73d88fff6,no_exact_file_hash_match,0,,,,
9d1567dbc357,no_exact_file_hash_match,0,,,,
46f42ba64835,no_exact_file_hash_match,0,,,,
9c7819d47c8a,no_exact_file_hash_match,0,,,,
55fc7242b742,no_exact_file_hash_match,0,,,,
973d4c876c05,no_exact_file_hash_match,0,,,,
a49a0ae8afb3,no_exact_file_hash_match,0,,,,
568cc7cdc478,no_exact_file_hash_match,0,,,,
a677adff2798,no_exact_file_hash_match,0,,,,
346e12a14b8c,no_exact_file_hash_match,0,,,,
418d386d3c7f,no_exact_file_hash_match,0,,,,
9d602bffd5f2,no_exact_file_hash_match,0,,,,
1d761e9323fc,no_exact_file_hash_match,0,,,,
6af04c4ce356,no_exact_file_hash_match,0,,,,
f4f9ac223836,no_exact_file_hash_match,0,,,,
339520abb056,no_exact_file_hash_match,0,,,,
18028c2b7b7e,no_exact_file_hash_match,0,,,,
35eb9ca69596,no_exact_file_hash_match,0,,,,
523e1fe9c615,no_exact_file_hash_match,0,,,,
